date,average
12/11/2023,16.75
11/11/2023,16.25
10/11/2023,16.00
09/11/2023,18.00
08/11/2023,17.00
07/11/2023,26.25
06/11/2023,27.25
05/11/2023,22.50
04/11/2023,14.75
03/11/2023,14.00
02/11/2023,15.50
01/11/2023,12.75
31/10/2023,11.50
30/10/2023,15.25
28/10/2023,23.50
27/10/2023,23.00
26/10/2023,20.75
25/10/2023,15.00
24/10/2023,18.00
23/10/2023,23.50
22/10/2023,16.25
21/10/2023,13.50
20/10/2023,15.00
19/10/2023,16.75
18/10/2023,18.25
17/10/2023,18.50
16/10/2023,18.00
15/10/2023,13.50
14/10/2023,14.00
13/10/2023,18.75
12/10/2023,19.00
11/10/2023,16.50
10/10/2023,23.75
09/10/2023,25.00
08/10/2023,26.50
07/10/2023,23.25
06/10/2023,14.50
05/10/2023,13.50
04/10/2023,16.25
03/10/2023,16.50
02/10/2023,19.00
01/10/2023,16.25
30/09/2023,17.25
29/09/2023,18.75
28/09/2023,19.50
27/09/2023,20.50
26/09/2023,25.00
25/09/2023,20.25
24/09/2023,17.25
23/09/2023,14.75
22/09/2023,15.00
21/09/2023,13.25
20/09/2023,13.50
19/09/2023,12.75
18/09/2023,21.25
17/09/2023,21.25
16/09/2023,20.25
15/09/2023,17.50
14/09/2023,14.50
13/09/2023,15.75
12/09/2023,14.25
11/09/2023,22.00
10/09/2023,29.50
09/09/2023,36.50
08/09/2023,40.00
07/09/2023,43.75
06/09/2023,39.50
05/09/2023,35.50
04/09/2023,27.25
03/09/2023,29.75
02/09/2023,20.75
01/09/2023,19.00
31/08/2023,14.75
30/08/2023,15.00
29/08/2023,15.25
28/08/2023,13.75
27/08/2023,11.50
26/08/2023,11.25
25/08/2023,14.00
24/08/2023,17.75
23/08/2023,19.00
22/08/2023,13.50
21/08/2023,14.00
20/08/2023,12.75
19/08/2023,18.75
18/08/2023,17.25
17/08/2023,21.50
16/08/2023,17.00
15/08/2023,13.50
14/08/2023,14.00
13/08/2023,14.00
12/08/2023,14.00
11/08/2023,17.00
10/08/2023,18.25
09/08/2023,17.25
08/08/2023,11.50
07/08/2023,11.75
06/08/2023,13.25
05/08/2023,13.50
04/08/2023,14.75
03/08/2023,11.75
02/08/2023,12.75
01/08/2023,12.25
31/07/2023,10.50
30/07/2023,12.75
29/07/2023,13.75
28/07/2023,14.00
27/07/2023,13.50
26/07/2023,13.25
25/07/2023,14.00
24/07/2023,9.75
23/07/2023,10.75
22/07/2023,12.25
21/07/2023,14.75
20/07/2023,15.75
19/07/2023,16.00
18/07/2023,16.00
17/07/2023,12.75
16/07/2023,10.75
15/07/2023,13.25
14/07/2023,15.25
13/07/2023,13.50
12/07/2023,13.00
11/07/2023,14.25
10/07/2023,15.75
09/07/2023,18.00
08/07/2023,20.00
07/07/2023,22.00
06/07/2023,20.75
05/07/2023,14.75
04/07/2023,12.50
03/07/2023,12.50
02/07/2023,16.50
01/07/2023,17.00
30/06/2023,16.75
29/06/2023,12.00
28/06/2023,17.75
27/06/2023,16.50
26/06/2023,15.25
25/06/2023,19.00
24/06/2023,20.25
23/06/2023,22.00
22/06/2023,20.25
21/06/2023,18.00
20/06/2023,17.75
19/06/2023,22.75
18/06/2023,25.75
17/06/2023,26.75
16/06/2023,25.50
15/06/2023,27.50
14/06/2023,25.75
13/06/2023,28.75
12/06/2023,38.00
11/06/2023,36.25
10/06/2023,30.25
09/06/2023,25.25
08/06/2023,19.75
07/06/2023,16.00
06/06/2023,16.25
05/06/2023,15.00
04/06/2023,17.00
03/06/2023,17.75
02/06/2023,17.50
01/06/2023,16.75
31/05/2023,17.00
30/05/2023,18.50
29/05/2023,19.75
28/05/2023,18.75
27/05/2023,22.00
26/05/2023,29.00
25/05/2023,26.75
24/05/2023,22.75
23/05/2023,19.75
22/05/2023,19.50
21/05/2023,21.50
20/05/2023,24.25
19/05/2023,23.25
18/05/2023,21.75
17/05/2023,22.00
16/05/2023,17.00
15/05/2023,17.50
14/05/2023,28.50
13/05/2023,24.25
12/05/2023,17.50
11/05/2023,16.50
10/05/2023,15.50
09/05/2023,15.75
08/05/2023,19.25
07/05/2023,18.50
06/05/2023,27.00
05/05/2023,29.50
04/05/2023,27.00
03/05/2023,24.00
02/05/2023,21.50
01/05/2023,18.75
30/04/2023,27.50
29/04/2023,30.75
28/04/2023,28.00
27/04/2023,32.25
26/04/2023,32.25
25/04/2023,21.75
24/04/2023,19.50
23/04/2023,25.75
22/04/2023,28.25
21/04/2023,29.00
20/04/2023,23.75
19/04/2023,26.25
18/04/2023,29.50
17/04/2023,30.50
16/04/2023,27.25
15/04/2023,24.00
14/04/2023,18.75
13/04/2023,16.50
12/04/2023,15.50
11/04/2023,17.50
10/04/2023,24.25
09/04/2023,29.50
08/04/2023,26.00
07/04/2023,19.25
06/04/2023,18.50
05/04/2023,26.75
04/04/2023,26.75
03/04/2023,25.25
02/04/2023,20.50
01/04/2023,16.00
31/03/2023,15.50
30/03/2023,15.50
29/03/2023,20.00
28/03/2023,23.25
27/03/2023,19.75
26/03/2023,19.00
25/03/2023,16.75
24/03/2023,18.25
23/03/2023,20.00
22/03/2023,17.75
21/03/2023,17.25
20/03/2023,16.75
19/03/2023,22.75
18/03/2023,19.75
17/03/2023,20.75
16/03/2023,20.00
15/03/2023,16.50
14/03/2023,17.00
13/03/2023,21.25
12/03/2023,24.25
11/03/2023,18.50
10/03/2023,18.25
09/03/2023,19.75
08/03/2023,18.00
07/03/2023,21.25
06/03/2023,22.00
05/03/2023,19.75
04/03/2023,16.25
03/03/2023,16.00
02/03/2023,13.25
01/03/2023,12.25
28/02/2023,13.25
27/02/2023,14.75
26/02/2023,15.25
25/02/2023,16.50
24/02/2023,17.00
23/02/2023,21.75
22/02/2023,22.00
21/02/2023,17.00
20/02/2023,12.00
19/02/2023,15.50
18/02/2023,17.50
17/02/2023,21.25
16/02/2023,42.50
15/02/2023,55.50
14/02/2023,39.00
13/02/2023,29.75
12/02/2023,19.50
11/02/2023,21.25
10/02/2023,24.25
09/02/2023,31.75
08/02/2023,31.00
07/02/2023,31.50
06/02/2023,25.75
05/02/2023,23.25
04/02/2023,15.75
03/02/2023,15.75
02/02/2023,18.25
01/02/2023,22.25
31/01/2023,21.25
30/01/2023,18.25
29/01/2023,17.00
28/01/2023,14.50
27/01/2023,15.50
26/01/2023,22.25
25/01/2023,32.00
24/01/2023,38.00
23/01/2023,42.00
22/01/2023,34.50
21/01/2023,15.50
20/01/2023,15.50
19/01/2023,14.25
18/01/2023,14.75
17/01/2023,19.50
16/01/2023,20.25
15/01/2023,20.00
14/01/2023,19.75
13/01/2023,19.50
12/01/2023,18.75
11/01/2023,21.00
10/01/2023,19.25
09/01/2023,15.00
08/01/2023,15.25
07/01/2023,16.00
06/01/2023,19.00
05/01/2023,17.75
04/01/2023,25.50
03/01/2023,19.50
02/01/2023,18.25
01/01/2023,20.25
